Unnamed: 0	SLL10_LV	SLL10_RAA	SLL13_LV	SLL13_RAA	SLL18_LV	SLL18_RAA	SLL18_RV	SLL20_LV
ENSG00000165312	980.0	898.0	390.0	444.0	697.0	1116.0	725.0	481.0
ENSG00000165322	1287.0	751.0	1124.0	671.0	1356.0	1077.0	1094.0	1096.0
ENSG00000165323	5.0	24.0	20.0	39.0	0.0	62.0	3.0	5.0
ENSG00000165325	0.0	0.0	0.0	0.0	1.0	4.0	1.0	2.0
ENSG00000165338	85.0	322.0	112.0	243.0	144.0	515.0	124.0	111.0
ENSG00000165349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000165355	219.0	296.0	248.0	314.0	335.0	567.0	221.0	285.0
ENSG00000165359	165.0	230.0	96.0	190.0	125.0	371.0	96.0	127.0
ENSG00000165376	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0
ENSG00000165379	21.0	12.0	26.0	13.0	9.0	17.0	30.0	17.0
ENSG00000165383	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0
ENSG00000165389	630.0	781.0	506.0	786.0	573.0	1435.0	625.0	616.0
ENSG00000165392	328.0	123.0	268.0	127.0	277.0	223.0	209.0	262.0
ENSG00000165406	2834.0	647.0	1956.0	1003.0	2155.0	1618.0	1756.0	2202.0
ENSG00000165409	0.0	13.0	0.0	5.0	0.0	13.0	6.0	0.0
ENSG00000165410	13818.0	11142.0	14883.0	12813.0	21399.0	15405.0	13788.0	20589.0
ENSG00000165416	2512.0	1507.0	1372.0	1149.0	1705.0	2862.0	1511.0	1509.0
ENSG00000165417	861.0	669.0	767.0	831.0	876.0	1644.0	1213.0	874.0
ENSG00000165424	2919.0	717.0	2515.0	1591.0	2788.0	2038.0	2229.0	3327.0
ENSG00000165434	200.0	94.0	82.0	76.0	106.0	132.0	112.0	122.0
ENSG00000165443	0.0	18.0	0.0	5.0	0.0	23.0	0.0	1.0
ENSG00000165449	62.0	82.0	123.0	171.0	69.0	150.0	73.0	47.0
ENSG00000165457	120.0	309.0	153.0	564.0	391.0	827.0	164.0	267.0
ENSG00000165458	4775.0	685.0	4489.0	1269.0	4698.0	1952.0	3120.0	5400.0
ENSG00000165471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000165474	1.0	0.0	5.0	5.0	11.0	14.0	13.0	12.0
ENSG00000165475	1082.0	1482.0	973.0	967.0	1048.0	1561.0	588.0	1067.0
ENSG00000165476	459.0	675.0	502.0	516.0	565.0	1272.0	685.0	685.0
ENSG00000165478	0.0	4.0	3.0	5.0	0.0	22.0	1.0	0.0
ENSG00000165480	26.0	0.0	11.0	1.0	15.0	28.0	6.0	11.0
ENSG00000165487	3211.0	2606.0	2615.0	2076.0	3567.0	3709.0	2255.0	2560.0
ENSG00000165490	22.0	8.0	20.0	23.0	6.0	18.0	20.0	19.0
ENSG00000165494	1226.0	441.0	1198.0	505.0	974.0	1004.0	857.0	887.0
ENSG00000165495	347.0	171.0	256.0	318.0	275.0	583.0	238.0	204.0
ENSG00000165496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000165501	82.0	116.0	56.0	84.0	106.0	136.0	59.0	113.0
ENSG00000165502	4677.0	4249.0	4019.0	4126.0	3522.0	5731.0	1539.0	3878.0
ENSG00000165506	219.0	508.0	352.0	270.0	335.0	566.0	225.0	232.0
ENSG00000165507	2637.0	1556.0	1370.0	2067.0	871.0	3225.0	1056.0	1156.0
ENSG00000165509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000165511	58.0	28.0	39.0	63.0	81.0	82.0	49.0	44.0
ENSG00000165512	601.0	617.0	270.0	360.0	398.0	909.0	390.0	323.0
ENSG00000165516	3777.0	1596.0	3140.0	1264.0	3281.0	2262.0	1721.0	3044.0
ENSG00000165521	0.0	8.0	14.0	0.0	6.0	25.0	10.0	3.0
